gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,curcd,artfs,at,bkvlps,che,cogs,cshfd,csho,dlc,dltt,dt,dvc,ebit,ebitda,emp,epsfx,fincf,invt,ivncf,lct,lt,ni,oancf,pstk,revt,sale,seq,wcap,xint,xopr,costat,prcc_f,naics
189456,20141231,2014,INDL,C,D,STD,CAD,,2.57,0.0506,0.294,0.74,45.047,47.149,0,0,0,0,-1.753,-1.66,,-0.04,1.723,0,-0.273,0.167,0.182,-1.758,-1.431,0,0.481,0.481,2.388,0.207,0,2.141,A,0.4,212221
189457,20141231,2014,INDL,C,D,STD,USD,,0.345,-0.0108,0.16,1.903,104.626,207.415,0.049,0.974,1.023,0,-1.747,-1.731,0.098,-0.02,0.341,0,-0.001,1.287,2.591,-3.552,-0.676,0,0.172,0.172,-2.246,-0.991,0.382,1.903,A,0.0261,511210
189459,20141231,2014,INDL,C,D,STD,USD,,35994.3,10.5001,2867.7,2430.3,68.461,67.761,0,17345.3,17345.3,102.7,1257.9,1450,1.65,1.23,-2293.4,,37,,23138.3,85.8,2645.7,0,3880.3,3880.3,711.5,,,2430.3,A,27.5,523920
189462,20141231,2014,INDL,C,D,STD,USD,,477.169,171.9654,19.387,177.159,27.477,0.896,4.788,238.257,243.045,0,44.528,56.166,2.408,0.64,-11.965,5.456,-17.448,41.433,321.71,17.555,34.053,0,262.28,262.28,154.081,-2.364,17.279,206.114,A,,722511
189464,20141231,2014,INDL,C,D,STD,USD,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,A,27.12,525910
189466,20141231,2014,INDL,C,D,STD,USD,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,A,20.65,525910
189468,20141231,2014,INDL,C,D,STD,CAD,,,,,,,13.925,,,,,,,,,,,,,,,,,,,,,,,A,32.85,525910
189471,20141231,2014,INDL,C,D,STD,USD,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,A,25.3999,525910
189477,20141231,2014,INDL,C,D,STD,CAD,,,,,,,3.573,,,,,,,,,,,,,,,,,,,,,,,A,13.19,525910
189479,20141231,2014,INDL,C,D,STD,CAD,,,,,,,1.764,,,,,,,,,,,,,,,,,,,,,,,A,7.69,525910
189481,20141231,2014,INDL,C,D,STD,CAD,,,,,,,4.05,,,,,,,,,,,,,,,,,,,,,,,A,19.35,525910
189482,20141231,2014,INDL,C,D,STD,CAD,,,,,,,2.65,,,,,,,,,,,,,,,,,,,,,,,A,19.83,525910
189483,20141231,2014,INDL,C,D,STD,CAD,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,A,19.94,525910
189484,20141231,2014,INDL,C,D,STD,CAD,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,A,20.28,525910
189485,20141231,2014,INDL,C,D,STD,CAD,,,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,A,20.51,525910
189490,20141231,2014,INDL,C,D,STD,USD,,4878,6.7151,510,2330,193.2,185.7,0,649,649,79,409,515,10,1.19,-72,225,-66,774,3631,249,196,0,3277,3277,1247,888,37,2762,I,17.53,334511
189491,20141231,2014,INDL,C,D,STD,USD,,4864,11.6676,663,2272,184.2,182.3,89,1199,1199,94,506,637,12.5,1.83,-147,486,-86,908,2737,337,416,0,3916,3916,2127,1194,54,3279,A,38.07,333911
189494,20141231,2014,INDL,C,D,STD,CAD,,,,,,,2.95,,,,,,,,,,,,,,,,,,,,,,,A,19.23,
189510,20141231,2014,INDL,C,D,STD,USD,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,A,12.736,525910
189511,20141231,2014,INDL,C,D,STD,USD,,,,,,,0.575,,,,,,,,,,,,,,,,,,,,,,,A,20.76,525910
189512,20141231,2014,INDL,C,D,STD,USD,,,,,,,0.225,,,,,,,,,,,,,,,,,,,,,,,A,11.8799,525910
189516,20141231,2014,INDL,C,D,STD,USD,,1867.653,14.0957,82.672,40.771,28.585,28.587,693.532,648.573,1342.105,28.597,57.329,,,0.85,652.445,0,-433.08,,1386.767,24.396,-222.914,0,98.1,98.1,402.954,,33.637,40.771,A,11.48,525990
189516,20141231,2014,FS,C,D,STD,USD,21.79,1867.653,,,,,,693.532,648.573,,28.597,,,,,,0,,,1386.767,,,0,96.736,,402.954,,33.637,,A,11.48,525990
189517,20141231,2014,INDL,C,D,STD,USD,,760.197,4.6662,75.106,266.787,33.008,33,0,494.181,494.181,122.384,215.008,233.74,1.151,3.38,-79.039,0,-313.097,64.079,606.213,111.671,429.935,0,809.837,809.837,153.984,376.696,38.474,576.097,A,22.26,522291
189517,20141231,2014,FS,C,D,STD,USD,0,760.197,,,,,,0,494.181,,0,,,1.151,,,0,,64.079,606.213,,,0,809.837,,153.984,,38.474,,A,22.26,522291
189521,20141231,2014,INDL,C,D,STD,CAD,,0.003,-0.003,0.003,0,38.191,38.949,0.056,0,0,0,-0.149,-0.149,,0,0.075,0,0,0.118,0.118,-0.096,-0.109,0,0,0,-0.115,-0.115,0.011,0.149,A,0.015,212
189525,20141231,2014,INDL,C,D,STD,CAD,,,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,I,8.35,525910
189526,20141231,2014,INDL,C,D,STD,CAD,,,,,,,10.1,,,,,,,,,,,,,,,,,,,,,,,A,19.82,525910
189531,20141231,2014,INDL,C,D,STD,CAD,,31.701,0.8314,2.525,25.741,32.185,32.185,0,0,0,0,1.374,4.173,0.039,0.04,0,0.923,-4.3,4.913,4.944,1.442,2.529,0,34.844,34.844,26.757,7.767,0,30.671,A,0.43,213112
189540,20141231,2014,INDL,C,D,STD,USD,,,,,,,8.7,,,,,,,,,,,,,,,,,,,,,,,A,87.58,525910
189541,20141231,2014,INDL,C,D,STD,USD,,,,,,,78.7,,,,,,,,,,,,,,,,,,,,,,,A,30.62,525910
189542,20141231,2014,INDL,C,D,STD,USD,,,,,,,90.154,,,,,,,,,,,,,,,,,,,,,,,A,24.29,525910
189543,20141231,2014,INDL,C,D,STD,USD,,,,,,,16.4,,,,,,,,,,,,,,,,,,,,,,,A,24.45,525910
189551,20141231,2014,INDL,C,D,STD,USD,,,,,,,6.15,,,,,,,,,,,,,,,,,,,,,,,A,24.31,525910
189557,20141231,2014,INDL,C,D,STD,USD,,1.776,0.0135,1.605,90.57,96.849,96.849,0,0,0,0,-92.331,-92.331,,-0.95,-0.02,0,-0.492,0.465,0.465,-92.348,-1.445,0,0,0,1.311,1.311,0,92.331,A,0.1094,211111
189562,20141231,2014,INDL,C,D,STD,USD,,0.071,-0.0968,0.018,0,24.393,25.481,0.708,0,0.006,0,-22.553,-22.532,0.013,-0.96,2.48,0,-0.502,2.21,2.538,-23.382,-2.043,0,0,0,-2.467,-2.192,0.008,22.532,A,0.1399,519130
189567,20141231,2014,INDL,C,D,STD,USD,,257.473,12.2746,151.907,268.655,13.881,13.714,0.964,,,9.86,134.493,136.81,0.525,0.67,-162.728,0,-11.567,66.497,108.762,9.317,174.037,0,405.465,405.465,168.334,139.405,0.027,268.655,A,13.82,523930
189575,20140630,2014,INDL,C,D,STD,CAD,,30.543,0.1831,4.011,1.886,134.229,146.289,0,0,0,0,-1.853,-1.672,0.005,-0.01,7.749,0,-11.54,2.248,3.764,-1.505,-1.284,0,0.214,0.214,26.779,1.927,,1.886,A,0.32,211111
189598,20140930,2014,INDL,C,D,STD,CAD,,88.047,0.9612,14.847,8.501,43.149,48.996,6.465,22.459,28.924,1.001,11.443,17.839,0.173,0.24,12.355,6.648,-7.252,17.193,40.951,10.395,8.661,0,29.609,29.609,47.096,6.902,0.443,11.77,A,0.7,212299
