gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,conm,curcd,act,ceq,che,ci,csho,dlc,dltt,dt,dvt,ebitda,emp,fincf,icapt,idit,intan,invt,ivncf,ivst,lct,oancf,ppegt,pstk,rect,revt,seq,tfva,txt,xint,xlr,xopr,costat,prcc_c,naics
063000,20141231,2014,INDL,C,D,STD,RUSH ENTERPRISES INC,USD,1445.5140,764.3390,191.4630,80.6990,39.8880,1006.2730,475.2080,635.504,0.0000,184.3760,6.2970,301.6370,1239.5470,0.2390,310.5450,1024.1040,-416.4160,0.0000,1274.6100,88.9370,1250.2730,0.0000,178.1950,4727.3560,764.3390,6.9050,50.5860,11.6810,,4542.9800,A,32.0500,441110
063005,20141231,2014,INDL,C,D,STD,FLAMEL TECHNOLOGIES SA  -ADR,USD,112.3220,24.8950,92.8340,-103.1440,40.1910,47.7270,76.1350,123.862,0.0000,-20.9040,0.1090,95.9950,101.0300,0.9630,46.8800,6.7290,-43.0830,53.0740,70.8420,-10.6180,17.6330,0.0000,8.6880,14.7750,24.8950,92.8340,-1.4070,9.2720,,35.6790,A,17.1300,325412
063026,20141231,2014,INDL,C,D,STD,ENERGIE HOLDINGS INC,USD,0.3880,-7.6570,0.0440,-3.7130,53.8170,2.3730,2.8930,5.266,0.0000,-1.7640,0.0100,0.5260,-4.7640,0.0000,0.0000,0.2490,-0.0330,0.0000,5.1750,-0.4870,0.0000,0.0000,0.0270,0.7560,-7.6570,,0.0000,0.7610,,2.5200,A,0.0160,48111
063029,20150331,2014,INDL,C,D,STD,ADVANSOURCE BIOMATERIALS CP,USD,0.6750,-0.1680,0.0750,-0.3180,21.4910,0.0580,1.9860,1.994,0.0000,0.1940,0.0110,-0.0060,1.8180,0.0000,0.0000,0.3040,0.0000,0.0000,0.8350,-0.1870,4.7170,0.0000,0.2900,2.5740,-0.1680,,0.0000,0.3860,,2.3800,A,0.0201,339113
063030,20141231,2014,INDL,C,D,STD,CASI PHARMACEUTICALS INC,USD,11.0220,-0.4220,10.6700,-26.2020,32.4460,0.0000,1.3900,1.39,0.0000,-6.4570,0.0220,0.0000,0.9680,0.0010,0.0000,0.0000,-0.4670,0.0000,0.9190,-3.9950,0.4870,0.0000,0.0240,0.0240,-0.4220,0.0000,0.0000,0.0280,,6.4810,A,1.3300,325412
063057,20150430,2014,INDL,C,D,STD,DAEGIS INC,USD,10.3120,3.6800,5.4260,-1.6860,16.3840,1.0290,10.8100,11.839,0.0000,1.9930,0.1280,-3.1320,14.4900,,15.8080,0.0000,-0.4720,0.0000,10.9790,1.8520,6.4270,0.0000,3.9180,25.1160,3.6800,0.0000,0.1180,0.8280,,23.1230,A,0.7299,519130
063058,20141231,2014,INDL,C,D,STD,SB FINANCIAL GROUP INC,USD,,61.7000,28.1970,6.1070,4.8750,17.2400,35.8100,,0.7830,15.5080,0.1900,46.7010,111.4930,,22.3400,5.4530,-36.6480,0.0000,,5.0070,,13.9830,509.5650,37.2350,75.6830,85.5130,2.0850,,13.1850,21.7270,A,9.4000,522110
063058,20141231,2014,FS,C,D,STD,SB FINANCIAL GROUP INC,USD,,61.7000,,6.1070,,17.2400,35.8100,,0.7830,,0.1900,,111.4930,24.4080,22.3400,,,0.0000,,,,13.9830,,37.2350,75.6830,,2.0850,3.4800,13.1850,,A,9.4000,522110
063059,20150331,2014,INDL,C,D,STD,TRULI MEDIA GROUP INC,USD,0.0130,-2.4410,0.0130,1.1030,2.5540,1.6040,0.0000,0,0.0000,-0.3930,0.0040,0.3690,-2.4410,0.0000,0.0000,0.0000,0.0000,0.0000,2.4090,-0.3600,0.0000,0.0000,0.0000,0.0000,-2.4410,0.0000,0.0000,0.3490,,0.3930,A,0.0036,519130
063062,20141231,2014,INDL,C,D,STD,RESTORGENEX CORP,USD,24.1710,38.1660,21.8840,-14.3530,18.6150,0.0000,0.0000,0,0.0000,-7.6210,0.0080,30.7100,38.1660,0.0000,18.5060,0.0000,-0.0510,0.0000,2.3390,-9.0300,0.1090,0.0000,,0.0000,38.1660,,-2.8170,0.2740,,7.6210,A,3.3000,325414
